county,county_name,num_below_p50,pop2018,ec_county,ec_se_county,child_ec_county,child_ec_se_county,ec_grp_mem_county,ec_high_county,ec_high_se_county,child_high_ec_county,child_high_ec_se_county,ec_grp_mem_high_county,exposure_grp_mem_county,exposure_grp_mem_high_county,child_exposure_county,child_high_exposure_county,bias_grp_mem_county,bias_grp_mem_high_county,child_bias_county,child_high_bias_county,clustering_county,support_ratio_county,volunteering_rate_county,civic_organizations_county,income
1001.0,"Autauga, Alabama",5922.3921,55200.0,0.72077,0.0083100004,1.11754,0.024669999,0.77223003,1.21372,0.01019,1.29814,0.02417,1.23018,0.81739998,1.0022,1.14816,1.19944,0.055259999,-0.22747999,0.02668,-0.082290001,0.10347,0.98275,0.04355,0.01518,26977.0
1003.0,"Baldwin, Alabama",15458.396,208107.0,0.74313003,0.00661,0.83064002,0.01629,0.76214999,1.28302,0.0075699999,1.0608,0.01657,1.3016,0.78531998,1.0711,0.84587997,1.00797,0.0295,-0.21518999,0.01802,-0.052409999,0.096239999,0.98684001,0.061170001,0.01526,29832.0
1005.0,"Barbour, Alabama",4863.9736,25782.0,0.41365999,0.00978,0.58541,0.027070001,0.35927001,0.91896999,0.021989999,0.86154002,0.02706,0.84568,0.41512999,0.63069999,0.63305998,0.71967,0.13457,-0.34086001,0.075280003,-0.19713999,0.14911,0.99910998,0.02093,0.01474,25696.0
1007.0,"Bibb, Alabama",3061.4934,22527.0,0.63151997,0.01175,0.72264999,0.030270001,0.68093997,1.06378,0.01476,0.83973002,0.03115,1.08974,0.71012002,0.85317999,0.71433002,0.72395003,0.041080002,-0.27726999,-0.01165,-0.15993001,0.14252,0.99716002,0.05294,0.01439,27158.0
1009.0,"Blount, Alabama",6740.9116,57645.0,0.72561997,0.00985,0.76095998,0.024660001,0.79584002,1.10569,0.01163,0.86316001,0.02486,1.12798,0.79758,0.90276998,0.74821001,0.79374999,0.00217,-0.24946,-0.017039999,-0.087449998,0.11243,0.99068999,0.057039998,0.017240001,30153.0
1011.0,"Bullock, Alabama",2581.3296,10352.0,0.35515001,0.01134,,,0.24803001,0.95595998,0.049940001,,,0.88681,0.26952001,0.74261999,,,0.079740003,-0.19417,,,0.18581,1.0,0.017130001,0.0097500002,25308.0
1013.0,"Butler, Alabama",4092.7781,20025.0,0.46026,0.01039,0.63507003,0.03159,0.43619001,0.93106002,0.019889999,0.79860997,0.033539999,0.89269,0.4808,0.67765999,0.59068,0.71077001,0.092780001,-0.31729999,-0.075159997,-0.12359,0.16094001,1.0,0.038070001,0.01286,26516.0
1015.0,"Calhoun, Alabama",15036.147,115098.0,0.60189003,0.0071100001,0.80397999,0.01891,0.63920999,1.04627,0.00973,0.98471999,0.019640001,1.07068,0.67798001,0.86505002,0.79992998,0.89270997,0.057190001,-0.23771,-0.00507,-0.10307,0.11236,0.99700999,0.053130001,0.01739,26996.0
1017.0,"Chambers, Alabama",5885.4712,33826.0,0.49761,0.0086899996,0.62215,0.02561,0.54166001,0.91306001,0.01359,0.76905,0.026310001,0.95060998,0.61041999,0.76675999,0.60909998,0.68217999,0.11264,-0.23977,-0.021430001,-0.12734,0.13574,0.99759001,0.025660001,0.01098,24779.0
1019.0,"Cherokee, Alabama",3303.9607,25853.0,0.60461003,0.01188,0.61975002,0.034170002,0.67163998,0.94985002,0.01522,0.71521997,0.035149999,0.98979002,0.68746001,0.79114002,0.60974002,0.65038002,0.023,-0.2511,-0.016410001,-0.099699996,0.12273,0.99697,0.046659999,0.017960001,27370.0
