"cty","Name","Household_Income_at_Age_35_rP_gF_p25"
"cty46063","Harding County, SD",82870
"cty38007","Billings County, ND",78130
"cty38033","Golden Valley County, ND",78089
"cty38011","Bowman County, ND",73012
"cty38037","Grant County, ND",72959
"cty31115","Loup County, NE",69594
"cty38047","Logan County, ND",67967
"cty46021","Campbell County, SD",66181
"cty31149","Rock County, NE",66057
"cty30109","Wibaux County, MT",65733
"cty46043","Douglas County, SD",65647
"cty20179","Sheridan County, KS",64887
"cty38041","Hettinger County, ND",64499
"cty38065","Oliver County, ND",64205
"cty48393","Roberts County, TX",63868
"cty46089","McPherson County, SD",63661
"cty31027","Cedar County, NE",63600
"cty31085","Hayes County, NE",62895
"cty38025","Dunn County, ND",62892
"cty38051","McIntosh County, ND",62354
"cty20199","Wallace County, KS",62052
"cty38045","LaMoure County, ND",61821
"cty38023","Divide County, ND",61809
"cty38039","Griggs County, ND",61298
"cty31163","Sherman County, NE",61252
"cty31063","Frontier County, NE",60955
"cty38001","Adams County, ND",60700
"cty31009","Blaine County, NE",60571
"cty20025","Clark County, KS",60339
"cty38019","Cavalier County, ND",60267
"cty38087","Slope County, ND",60262
"cty38029","Emmons County, ND",60211
"cty46045","Edmunds County, SD",60112
"cty31077","Greeley County, NE",59742
"cty31011","Boone County, NE",59660
"cty27125","Red Lake County, MN",59563
"cty30011","Carter County, MT",59310
"cty30045","Judith Basin County, MT",59309
"cty46067","Hutchinson County, SD",59062
"cty46077","Kingsbury County, SD",59033
"cty31003","Antelope County, NE",58858
"cty30025","Fallon County, MT",58803
"cty27011","Big Stone County, MN",58720
"cty46087","McCook County, SD",58680
"cty38095","Towner County, ND",58599
"cty46061","Hanson County, SD",58568
"cty46111","Sanborn County, SD",58554
"cty38057","Mercer County, ND",58450
"cty27155","Traverse County, MN",58155
"cty46073","Jerauld County, SD",58118
"cty20131","Nemaha County, KS",57674
"cty19027","Carroll County, IA",57553
"cty46049","Faulk County, SD",57453
"cty38089","Stark County, ND",57450
"cty38009","Bottineau County, ND",57387
"cty19161","Sac County, IA",57274
"cty38075","Renville County, ND",57237
"cty31103","Keya Paha County, NE",56820
"cty38105","Williams County, ND",56756
"cty31125","Nance County, NE",56524
"cty38061","Mountrail County, ND",56404
"cty19109","Kossuth County, IA",56264
"cty48295","Lipscomb County, TX",56251
"cty19119","Lyon County, IA",55886
"cty20081","Haskell County, KS",55730
"cty20083","Hodgeman County, KS",55572
"cty30097","Sweet Grass County, MT",55406
"cty31029","Chase County, NE",55353
"cty31039","Cuming County, NE",55300
"cty49033","Rich County, UT",55031
"cty46069","Hyde County, SD",55017
"cty56011","Crook County, WY",55013
"cty08017","Cheyenne County, CO",54828
"cty46025","Clark County, SD",54758
"cty38043","Kidder County, ND",54756
"cty19055","Delaware County, IA",54700
"cty19167","Sioux County, IA",54690
"cty46107","Potter County, SD",54671
"cty27121","Pope County, MN",54658
"cty31069","Garden County, NE",54645
"cty38031","Foster County, ND",54494
"cty38063","Nelson County, ND",54421
"cty31015","Boyd County, NE",54417
"cty27081","Lincoln County, MN",54323
"cty19191","Winneshiek County, IA",54308
"cty46125","Turner County, SD",54294
"cty46097","Miner County, SD",54290
"cty49031","Piute County, UT",54206
"cty31035","Clay County, NE",54164
"cty31129","Nuckolls County, NE",54139
"cty20203","Wichita County, KS",54133
"cty38073","Ransom County, ND",54081
"cty40003","Alfalfa County, OK",53893
"cty31165","Sioux County, NE",53890
"cty30103","Treasure County, MT",53864
"cty38081","Sargent County, ND",53719
"cty31041","Custer County, NE",53701
"cty27129","Renville County, MN",53669
"cty31179","Wayne County, NE",53666
"cty31061","Franklin County, NE",53453
"cty46059","Hand County, SD",53334
"cty31089","Holt County, NE",53174
"cty38027","Eddy County, ND",53010
"cty46053","Gregory County, SD",52975
"cty30083","Richland County, MT",52900
"cty31107","Knox County, NE",52827
"cty20023","Cheyenne County, KS",52823
"cty20119","Meade County, KS",52822
"cty30071","Phillips County, MT",52752
"cty38013","Burke County, ND",52736
"cty46055","Haakon County, SD",52630
"cty31065","Furnas County, NE",52577
"cty19037","Chickasaw County, IA",52528
"cty46039","Deuel County, SD",52457
"cty19149","Plymouth County, IA",52356
"cty27089","Marshall County, MN",52335
"cty46015","Brule County, SD",52332
"cty20183","Smith County, KS",52326
"cty19089","Howard County, IA",52218
"cty31023","Butler County, NE",52151
"cty20195","Trego County, KS",52044
"cty46123","Tripp County, SD",51862
"cty38091","Steele County, ND",51766
"cty56017","Hot Springs County, WY",51716
"cty20039","Decatur County, KS",51648
"cty27117","Pipestone County, MN",51612
"cty38003","Barnes County, ND",51594
"cty38049","McHenry County, ND",51564
"cty31143","Polk County, NE",51563
"cty31127","Nemaha County, NE",51526
"cty27127","Redwood County, MN",51438
"cty31087","Hitchcock County, NE",51412
"cty27173","Yellow Medicine County, MN",51357
"cty40053","Grant County, OK",51330
"cty49043","Summit County, UT",51328
"cty46057","Hamlin County, SD",51235
"cty20135","Ness County, KS",51075
"cty19001","Adair County, IA",51013
"cty31051","Dixon County, NE",50975
"cty38055","McLean County, ND",50838
"cty19043","Clayton County, IA",50828
"cty38069","Pierce County, ND",50787
"cty19093","Ida County, IA",50787
"cty27051","Grant County, MN",50767
"cty46079","Lake County, SD",50753
"cty31137","Phelps County, NE",50750
"cty27069","Kittson County, MN",50742
"cty19081","Hancock County, IA",50731
"cty27143","Sibley County, MN",50722
"cty16071","Oneida County, ID",50718
"cty19141","O'Brien County, IA",50670
"cty30021","Dawson County, MT",50656
"cty17013","Calhoun County, IL",50626
"cty30019","Daniels County, MT",50606
"cty46115","Spink County, SD",50549
"cty38059","Morton County, ND",50523
"cty08113","San Miguel County, CO",50486
"cty19185","Wayne County, IA",50392
"cty48421","Sherman County, TX",50369
"cty19035","Cherokee County, IA",50348
"cty20071","Greeley County, KS",50290
"cty08115","Sedgwick County, CO",50267
"cty19003","Adams County, IA",50261
"cty48205","Hartley County, TX",50215
"cty31071","Garfield County, NE",50103
"cty31059","Fillmore County, NE",50080
"cty46037","Day County, SD",50041
"cty49017","Garfield County, UT",50041
"cty27045","Fillmore County, MN",50039
"cty42113","Sullivan County, PA",50022
"cty30095","Stillwater County, MT",50010
"cty30051","Liberty County, MT",49981
