"cty","Name","Household_Income_at_Age_35_rP_gM_p25"
"cty46119","Sully County, SD",69103
"cty46063","Harding County, SD",68827
"cty48235","Irion County, TX",66598
"cty31009","Blaine County, NE",66197
"cty38025","Dunn County, ND",65713
"cty38011","Bowman County, ND",65169
"cty56027","Niobrara County, WY",64303
"cty30075","Powder River County, MT",63953
"cty38087","Slope County, ND",63845
"cty38053","McKenzie County, ND",63775
"cty38013","Burke County, ND",62888
"cty38045","LaMoure County, ND",62819
"cty30109","Wibaux County, MT",62683
"cty46045","Edmunds County, SD",62366
"cty38037","Grant County, ND",61860
"cty38033","Golden Valley County, ND",61718
"cty38061","Mountrail County, ND",61210
"cty38065","Oliver County, ND",59870
"cty31063","Frontier County, NE",59865
"cty38007","Billings County, ND",59329
"cty38091","Steele County, ND",58997
"cty46021","Campbell County, SD",58512
"cty38089","Stark County, ND",58441
"cty20131","Nemaha County, KS",58306
"cty31087","Hitchcock County, NE",58154
"cty38043","Kidder County, ND",57940
"cty56011","Crook County, WY",57840
"cty20071","Greeley County, KS",57533
"cty46055","Haakon County, SD",57238
"cty32017","Lincoln County, NV",56891
"cty38009","Bottineau County, ND",56853
"cty49017","Garfield County, UT",56742
"cty30091","Sheridan County, MT",56672
"cty31085","Hayes County, NE",56647
"cty48461","Upton County, TX",56641
"cty19119","Lyon County, IA",56518
"cty46067","Hutchinson County, SD",56254
"cty38063","Nelson County, ND",56136
"cty38049","McHenry County, ND",55805
"cty38041","Hettinger County, ND",55566
"cty38019","Cavalier County, ND",54748
"cty49031","Piute County, UT",54672
"cty30019","Daniels County, MT",54670
"cty48263","Kent County, TX",54538
"cty46003","Aurora County, SD",53922
"cty40059","Harper County, OK",53749
"cty31149","Rock County, NE",53732
"cty48011","Armstrong County, TX",53591
"cty31035","Clay County, NE",53566
"cty31115","Loup County, NE",53527
"cty38095","Towner County, ND",53420
"cty30039","Granite County, MT",53375
"cty27155","Traverse County, MN",53346
"cty08017","Cheyenne County, CO",53302
"cty27081","Lincoln County, MN",53282
"cty38001","Adams County, ND",53198
"cty27011","Big Stone County, MN",53184
"cty38075","Renville County, ND",53164
"cty46059","Hand County, SD",52914
"cty38097","Traill County, ND",52891
"cty31015","Boyd County, NE",52849
"cty19109","Kossuth County, IA",52830
"cty19167","Sioux County, IA",52799
"cty31027","Cedar County, NE",52778
"cty48495","Winkler County, TX",52748
"cty46043","Douglas County, SD",52663
"cty38051","McIntosh County, ND",52644
"cty48103","Crane County, TX",52595
"cty31039","Cuming County, NE",52567
"cty27069","Kittson County, MN",52523
"cty46009","Bon Homme County, SD",52523
"cty31107","Knox County, NE",52487
"cty38029","Emmons County, ND",52450
"cty31143","Polk County, NE",52396
"cty46115","Spink County, SD",52392
"cty08091","Ouray County, CO",52346
"cty38103","Wells County, ND",52178
"cty31077","Greeley County, NE",52116
"cty40025","Cimarron County, OK",52017
"cty38021","Dickey County, ND",52017
"cty46025","Clark County, SD",52006
"cty31011","Boone County, NE",51836
"cty30083","Richland County, MT",51825
"cty19027","Carroll County, IA",51706
"cty38105","Williams County, ND",51693
"cty35011","De Baca County, NM",51414
"cty40043","Dewey County, OK",51267
"cty20083","Hodgeman County, KS",51170
"cty30095","Stillwater County, MT",51029
"cty46053","Gregory County, SD",50962
"cty31075","Grant County, NE",50950
"cty48393","Roberts County, TX",50929
"cty27125","Red Lake County, MN",50862
"cty20081","Haskell County, KS",50853
"cty31127","Nemaha County, NE",50805
"cty32011","Eureka County, NV",50612
"cty48045","Briscoe County, TX",50394
"cty49029","Morgan County, UT",50231
"cty46073","Jerauld County, SD",50226
"cty31117","McPherson County, NE",50159
"cty46105","Perkins County, SD",50108
"cty32009","Esmeralda County, NV",50066
"cty38047","Logan County, ND",50065
"cty38055","McLean County, ND",49938
"cty19161","Sac County, IA",49894
"cty19009","Audubon County, IA",49856
"cty48095","Concho County, TX",49846
"cty31129","Nuckolls County, NE",49699
"cty02100","Haines Borough, AK",49684
"cty31089","Holt County, NE",49617
"cty38069","Pierce County, ND",49602
"cty20179","Sheridan County, KS",49589
"cty38057","Mercer County, ND",49474
"cty31049","Deuel County, NE",49432
"cty30021","Dawson County, MT",49311
"cty31121","Merrick County, NE",49278
"cty38067","Pembina County, ND",49248
"cty46125","Turner County, SD",49052
"cty16007","Bear Lake County, ID",49025
"cty30065","Musselshell County, MT",49020
"cty56019","Johnson County, WY",48998
"cty27045","Fillmore County, MN",48994
"cty40053","Grant County, OK",48924
"cty31113","Logan County, NE",48915
"cty31165","Sioux County, NE",48879
"cty20203","Wichita County, KS",48859
"cty49043","Summit County, UT",48816
"cty38073","Ransom County, ND",48812
"cty30055","McCone County, MT",48806
"cty20063","Gove County, KS",48796
"cty40045","Ellis County, OK",48776
"cty56023","Lincoln County, WY",48646
"cty27149","Stevens County, MN",48637
"cty31179","Wayne County, NE",48631
"cty48003","Andrews County, TX",48597
"cty55091","Pepin County, WI",48568
"cty31181","Webster County, NE",48412
"cty30073","Pondera County, MT",48405
"cty38083","Sheridan County, ND",48393
"cty46039","Deuel County, SD",48293
"cty27089","Marshall County, MN",48253
"cty08049","Grand County, CO",48250
"cty48295","Lipscomb County, TX",48246
"cty27133","Rock County, MN",48246
"cty46057","Hamlin County, SD",48122
"cty20017","Chase County, KS",48066
"cty31139","Pierce County, NE",48061
"cty27143","Sibley County, MN",48061
"cty08057","Jackson County, CO",48036
"cty48317","Martin County, TX",47983
"cty19055","Delaware County, IA",47934
"cty31159","Seward County, NE",47932
"cty30025","Fallon County, MT",47928
"cty19037","Chickasaw County, IA",47846
"cty31057","Dundy County, NE",47775
"cty20153","Rawlins County, KS",47771
"cty48285","Lavaca County, TX",47725
"cty20039","Decatur County, KS",47712
"cty16081","Teton County, ID",47691
"cty53043","Lincoln County, WA",47643
"cty32027","Pershing County, NV",47633
"cty31169","Thayer County, NE",47611
"cty31041","Custer County, NE",47567
"cty27063","Jackson County, MN",47561
"cty19141","O'Brien County, IA",47560
"cty16037","Custer County, ID",47556
"cty46087","McCook County, SD",47540
"cty27051","Grant County, MN",47523
"cty46049","Faulk County, SD",47496
"cty30057","Madison County, MT",47490
"cty19131","Mitchell County, IA",47391
"cty31051","Dixon County, NE",47390
"cty20193","Thomas County, KS",47388
"cty40129","Roger Mills County, OK",47373
"cty20023","Cheyenne County, KS",47350
"cty27129","Renville County, MN",47308
"cty27117","Pipestone County, MN",47269
"cty31163","Sherman County, NE",47255
"cty46097","Miner County, SD",47090
"cty56005","Campbell County, WY",47085
"cty31003","Antelope County, NE",47055
"cty20199","Wallace County, KS",47051
"cty19151","Pocahontas County, IA",47010
"cty20025","Clark County, KS",46950
"cty48501","Yoakum County, TX",46930
"cty40007","Beaver County, OK",46918
"cty19191","Winneshiek County, IA",46884
"cty46077","Kingsbury County, SD",46851
"cty31023","Butler County, NE",46846
"cty30097","Sweet Grass County, MT",46834
"cty31133","Pawnee County, NE",46743
"cty49013","Duchesne County, UT",46724
"cty38059","Morton County, ND",46716
"cty19075","Grundy County, IA",46646
"cty31135","Perkins County, NE",46634
"cty19035","Cherokee County, IA",46630
"cty38039","Griggs County, ND",46624
"cty20069","Gray County, KS",46557
"cty38023","Divide County, ND",46556
"cty46069","Hyde County, SD",46520
"cty38081","Sargent County, ND",46492
"cty19143","Osceola County, IA",46431
"cty46079","Lake County, SD",46420
"cty48475","Ward County, TX",46374
"cty08027","Custer County, CO",46357
"cty40093","Major County, OK",46268
"cty18087","LaGrange County, IN",46255
"cty46061","Hanson County, SD",46248
"cty31097","Johnson County, NE",46219
"cty27107","Norman County, MN",46215
"cty48065","Carson County, TX",46196
"cty31099","Kearney County, NE",46194
"cty56017","Hot Springs County, WY",46192
"cty27077","Lake of the Woods County, MN",46138
"cty27039","Dodge County, MN",46133
"cty49047","Uintah County, UT",46107
"cty30051","Liberty County, MT",46052
"cty27093","Meeker County, MN",46047
"cty49027","Millard County, UT",46001
"cty31065","Furnas County, NE",45983
"cty31171","Thomas County, NE",45969
"cty27121","Pope County, MN",45941
"cty19147","Palo Alto County, IA",45848
"cty08061","Kiowa County, CO",45842
"cty38031","Foster County, ND",45775
"cty48383","Reagan County, TX",45673
"cty31177","Washington County, NE",45669
"cty31103","Keya Paha County, NE",45668
"cty19017","Bremer County, IA",45664
"cty08009","Baca County, CO",45631
"cty31059","Fillmore County, NE",45629
"cty56039","Teton County, WY",45612
"cty19019","Buchanan County, IA",45599
"cty48447","Throckmorton County, TX",45527
"cty48431","Sterling County, TX",45523
"cty31167","Stanton County, NE",45515
"cty56003","Big Horn County, WY",45514
"cty31029","Chase County, NE",45486
"cty19023","Butler County, IA",45461
"cty46107","Potter County, SD",45459
"cty38099","Walsh County, ND",45443
"cty08117","Summit County, CO",45430
"cty30107","Wheatland County, MT",45414
"cty20119","Meade County, KS",45410
"cty20051","Ellis County, KS",45408
"cty16029","Caribou County, ID",45389
"cty48435","Sutton County, TX",45362
"cty48205","Hartley County, TX",45346
"cty55093","Pierce County, WI",45333
"cty27127","Redwood County, MN",45303
"cty20117","Marshall County, KS",45279
"cty19149","Plymouth County, IA",45231
"cty19095","Iowa County, IA",45225
"cty46011","Brookings County, SD",45219
"cty20065","Graham County, KS",45198
"cty19093","Ida County, IA",45164
"cty27173","Yellow Medicine County, MN",45143
"cty30009","Carbon County, MT",45126
"cty46117","Stanley County, SD",45079
"cty27015","Brown County, MN",45074
"cty48413","Schleicher County, TX",45053
"cty46033","Custer County, SD",45029
"cty27033","Cottonwood County, MN",44999
"cty19091","Humboldt County, IA",44992
"cty20187","Stanton County, KS",44874
"cty48357","Ochiltree County, TX",44866
"cty38003","Barnes County, ND",44776
"cty31017","Brown County, NE",44752
"cty31095","Jefferson County, NE",44748
"cty08063","Kit Carson County, CO",44724
"cty27145","Stearns County, MN",44710
"cty31125","Nance County, NE",44685
"cty19043","Clayton County, IA",44635
"cty19165","Shelby County, IA",44629
"cty38077","Richland County, ND",44607
"cty31071","Garfield County, NE",44582
"cty27101","Murray County, MN",44575
"cty31123","Morrill County, NE",44574
"cty30043","Jefferson County, MT",44565
"cty31083","Harlan County, NE",44523
"cty48371","Pecos County, TX",44517
"cty46089","McPherson County, SD",44508
"cty46127","Union County, SD",44476
"cty27159","Wadena County, MN",44459
"cty31105","Kimball County, NE",44435
"cty19011","Benton County, IA",44409
"cty56015","Goshen County, WY",44385
"cty20167","Russell County, KS",44374
"cty48175","Goliad County, TX",44361
"cty48137","Edwards County, TX",44339
"cty31073","Gosper County, NE",44337
"cty27157","Wabasha County, MN",44331
"cty30015","Chouteau County, MT",44299
"cty31093","Howard County, NE",44260
"cty31007","Banner County, NE",44244
"cty20195","Trego County, KS",44219
"cty19081","Hancock County, IA",44201
"cty16071","Oneida County, ID",44190
"cty19005","Allamakee County, IA",44159
"cty31141","Platte County, NE",44158
"cty31081","Hamilton County, NE",43924
"cty31175","Valley County, NE",43884
"cty31045","Dawes County, NE",43853
"cty27041","Douglas County, MN",43815
"cty31021","Burt County, NE",43778
"cty20137","Norton County, KS",43768
"cty29197","Schuyler County, MO",43767
"cty55099","Price County, WI",43686
"cty49051","Wasatch County, UT",43681
"cty38015","Burleigh County, ND",43657
"cty46051","Grant County, SD",43649
"cty19189","Winnebago County, IA",43616
"cty31013","Box Butte County, NE",43578
"cty20171","Scott County, KS",43560
"cty31101","Keith County, NE",43559
"cty38093","Stutsman County, ND",43446
"cty30071","Phillips County, MT",43412
"cty31151","Saline County, NE",43401
"cty16065","Madison County, ID",43398
"cty38101","Ward County, ND",43373
"cty49015","Emery County, UT",43370
"cty48389","Reeves County, TX",43340
"cty46111","Sanborn County, SD",43325
"cty27113","Pennington County, MN",43318
"cty27023","Chippewa County, MN",43311
"cty31145","Red Willow County, NE",43300
"cty19173","Taylor County, IA",43288
"cty17085","Jo Daviess County, IL",43211
"cty38027","Eddy County, ND",43186
"cty27019","Carver County, MN",43160
"cty31061","Franklin County, NE",43156
"cty56009","Converse County, WY",43109
"cty31161","Sheridan County, NE",43080
"cty08121","Washington County, CO",43048
"cty19089","Howard County, IA",43046
"cty39107","Mercer County, OH",43003
"cty30101","Toole County, MT",42996
"cty19063","Emmet County, IA",42954
"cty16063","Lincoln County, ID",42939
"cty27001","Aitkin County, MN",42901
"cty27067","Kandiyohi County, MN",42897
"cty16041","Franklin County, ID",42893
"cty31033","Cheyenne County, NE",42858
"cty31155","Saunders County, NE",42833
"cty46083","Lincoln County, SD",42833
"cty48319","Mason County, TX",42803
"cty20095","Kingman County, KS",42802
"cty19157","Poweshiek County, IA",42779
"cty20067","Grant County, KS",42763
"cty46015","Brule County, SD",42748
"cty17189","Washington County, IL",42740
"cty27083","Lyon County, MN",42688
"cty17139","Moultrie County, IL",42684
"cty48149","Fayette County, TX",42674
"cty56029","Park County, WY",42647
"cty36041","Hamilton County, NY",42621
"cty20007","Barber County, KS",42602
"cty42113","Sullivan County, PA",42572
"cty40003","Alfalfa County, OK",42560
"cty20183","Smith County, KS",42540
"cty19083","Hardin County, IA",42519
"cty31185","York County, NE",42511
"cty27161","Waseca County, MN",42498
"cty27153","Todd County, MN",42440
"cty72011","Anasco Municipio, PR",42438
"cty29041","Chariton County, MO",42432
"cty46135","Yankton County, SD",42389
"cty56033","Sheridan County, WY",42388
"cty27029","Clearwater County, MN",42383
"cty56031","Platte County, WY",42370
"cty25019","Nantucket County, MA",42335
"cty20157","Republic County, KS",42331
"cty27103","Nicollet County, MN",42330
"cty48297","Live Oak County, TX",42314
"cty48165","Gaines County, TX",42296
"cty20123","Mitchell County, KS",42288
"cty27043","Faribault County, MN",42276
"cty19025","Calhoun County, IA",42247
"cty49055","Wayne County, UT",42224
"cty19061","Dubuque County, IA",42220
"cty55049","Iowa County, WI",42215
"cty48433","Stonewall County, TX",42212
"cty30017","Custer County, MT",42204
"cty54013","Calhoun County, WV",42181
"cty19105","Jones County, IA",42179
"cty30099","Teton County, MT",42147
"cty51610","Falls Church city, VA",42142
"cty41063","Wallowa County, OR",42098
"cty36079","Putnam County, NY",42092
"cty46027","Clay County, SD",42074
"cty20147","Phillips County, KS",42003
"cty34003","Bergen County, NJ",41996
"cty56041","Uinta County, WY",41927
"cty27111","Otter Tail County, MN",41916
"cty49033","Rich County, UT",41913
"cty20135","Ness County, KS",41906
"cty27079","Le Sueur County, MN",41896
"cty55011","Buffalo County, WI",41882
"cty48135","Ector County, TX",41877
"cty31147","Richardson County, NE",41820
"cty19077","Guthrie County, IA",41787
"cty55065","Lafayette County, WI",41782
"cty48131","Duval County, TX",41759
"cty19097","Jackson County, IA",41754
"cty46037","Day County, SD",41753
"cty55095","Polk County, WI",41706
"cty46081","Lawrence County, SD",41681
"cty27049","Goodhue County, MN",41636
"cty20197","Wabaunsee County, KS",41633
"cty55121","Trempealeau County, WI",41610
